scenario_id,domain,runner_type,selected_action,student_state,pedagogical_reward,total_tokens_used
scenario_001,High School Math,baseline_greedy,direct_answer,Passive,-1.0,338
scenario_001,High School Math,baseline_socratic_prompt,socratic_prompt,Constructive,1.0,350
scenario_001,High School Math,pmcts_full,socratic_prompt,Constructive,1.0,974
scenario_001,High School Math,ablation_no_reward,hint,Active,0.023645,501
scenario_001,High School Math,ablation_shallow,direct_answer,Passive,-1.0,314
scenario_002,Python Programming,baseline_greedy,direct_answer,Passive,-1.0,207
scenario_002,Python Programming,baseline_socratic_prompt,socratic_prompt,Constructive,1.0,228
scenario_002,Python Programming,pmcts_full,socratic_prompt,Constructive,1.0,598
scenario_002,Python Programming,ablation_no_reward,direct_answer,Passive,0.720001,314
scenario_002,Python Programming,ablation_shallow,direct_answer,Passive,-1.0,183
scenario_003,Logical Reasoning,baseline_greedy,direct_answer,Passive,-1.0,226
scenario_003,Logical Reasoning,baseline_socratic_prompt,socratic_prompt,Constructive,1.0,244
scenario_003,Logical Reasoning,pmcts_full,socratic_prompt,Constructive,1.0,649
scenario_003,Logical Reasoning,ablation_no_reward,hint,Active,0.566747,339
scenario_003,Logical Reasoning,ablation_shallow,direct_answer,Passive,-1.0,202
scenario_004,High School Math,baseline_greedy,direct_answer,Passive,-1.0,277
scenario_004,High School Math,baseline_socratic_prompt,socratic_prompt,Constructive,1.0,286
scenario_004,High School Math,pmcts_full,socratic_prompt,Constructive,1.0,785
scenario_004,High School Math,ablation_no_reward,hint,Active,0.536231,407
scenario_004,High School Math,ablation_shallow,direct_answer,Passive,-1.0,253
scenario_005,Python Programming,baseline_greedy,direct_answer,Passive,-1.0,237
scenario_005,Python Programming,baseline_socratic_prompt,socratic_prompt,Constructive,1.0,260
scenario_005,Python Programming,pmcts_full,socratic_prompt,Constructive,1.0,692
scenario_005,Python Programming,ablation_no_reward,direct_answer,Passive,0.502052,361
scenario_005,Python Programming,ablation_shallow,direct_answer,Passive,-1.0,213
scenario_006,Logical Reasoning,baseline_greedy,direct_answer,Passive,-1.0,242
scenario_006,Logical Reasoning,baseline_socratic_prompt,socratic_prompt,Constructive,1.0,264
scenario_006,Logical Reasoning,pmcts_full,socratic_prompt,Constructive,1.0,707
scenario_006,Logical Reasoning,ablation_no_reward,hint,Active,0.633523,368
scenario_006,Logical Reasoning,ablation_shallow,direct_answer,Passive,-1.0,218
scenario_007,High School Math,baseline_greedy,direct_answer,Passive,-1.0,247
scenario_007,High School Math,baseline_socratic_prompt,socratic_prompt,Constructive,1.0,264
scenario_007,High School Math,pmcts_full,socratic_prompt,Constructive,1.0,712
scenario_007,High School Math,ablation_no_reward,socratic_prompt,Constructive,0.629525,371
scenario_007,High School Math,ablation_shallow,direct_answer,Passive,-1.0,223
scenario_008,Python Programming,baseline_greedy,direct_answer,Passive,-1.0,223
scenario_008,Python Programming,baseline_socratic_prompt,socratic_prompt,Constructive,1.0,244
scenario_008,Python Programming,pmcts_full,socratic_prompt,Constructive,1.0,646
scenario_008,Python Programming,ablation_no_reward,direct_answer,Passive,0.358778,338
scenario_008,Python Programming,ablation_shallow,direct_answer,Passive,-1.0,199
scenario_009,Logical Reasoning,baseline_greedy,direct_answer,Passive,-1.0,221
scenario_009,Logical Reasoning,baseline_socratic_prompt,socratic_prompt,Constructive,1.0,244
scenario_009,Logical Reasoning,pmcts_full,socratic_prompt,Constructive,1.0,644
scenario_009,Logical Reasoning,ablation_no_reward,direct_answer,Passive,0.959825,337
scenario_009,Logical Reasoning,ablation_shallow,direct_answer,Passive,-1.0,197
scenario_010,High School Math,baseline_greedy,direct_answer,Passive,-1.0,261
scenario_010,High School Math,baseline_socratic_prompt,socratic_prompt,Constructive,1.0,284
scenario_010,High School Math,pmcts_full,socratic_prompt,Constructive,1.0,764
scenario_010,High School Math,ablation_no_reward,direct_answer,Passive,0.999312,397
scenario_010,High School Math,ablation_shallow,direct_answer,Passive,-1.0,237
scenario_011,High School Math,baseline_greedy,direct_answer,Passive,-1.0,229
scenario_011,High School Math,baseline_socratic_prompt,socratic_prompt,Constructive,1.0,252
scenario_011,High School Math,pmcts_full,socratic_prompt,Constructive,1.0,668
scenario_011,High School Math,ablation_no_reward,socratic_prompt,Constructive,0.114901,349
scenario_011,High School Math,ablation_shallow,direct_answer,Passive,-1.0,205
scenario_012,Python Programming,baseline_greedy,direct_answer,Passive,-1.0,210
