scenario_id,domain,student_profile,model_name,runner_type,selected_action,engagement_score,frustration_score,efficiency_score,total_reward
scenario_001,High School Math,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.7,0.5,0.8,0.6
scenario_001,High School Math,Standard Beginner,gpt-4o-mini,pmcts_full,socratic_prompt,0.7,0.5,0.8,0.6
scenario_002,Python Programming,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.8,0.4,0.7,0.75
scenario_002,Python Programming,Standard Beginner,gpt-4o-mini,pmcts_full,hint,0.8,0.2,0.7,0.95
scenario_003,Logical Reasoning,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.7,0.4,0.6,0.6
scenario_003,Logical Reasoning,Standard Beginner,gpt-4o-mini,pmcts_full,socratic_prompt,0.7,0.4,0.6,0.6
scenario_004,High School Math,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.7,0.4,0.6,0.6
scenario_004,High School Math,Standard Beginner,gpt-4o-mini,pmcts_full,hint,0.8,0.2,0.7,0.95
scenario_005,Python Programming,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.8,0.2,0.7,0.95
scenario_005,Python Programming,Standard Beginner,gpt-4o-mini,pmcts_full,hint,0.8,0.2,0.7,0.95
scenario_006,Logical Reasoning,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.8,0.2,0.7,0.95
scenario_006,Logical Reasoning,Standard Beginner,gpt-4o-mini,pmcts_full,socratic_prompt,0.7,0.4,0.8,0.7
scenario_007,High School Math,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.7,0.4,0.8,0.7
scenario_007,High School Math,Standard Beginner,gpt-4o-mini,pmcts_full,hint,0.7,0.4,0.8,0.7
scenario_008,Python Programming,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.8,0.4,0.7,0.75
scenario_008,Python Programming,Standard Beginner,gpt-4o-mini,pmcts_full,hint,0.8,0.2,0.9,1.0
scenario_009,Logical Reasoning,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.7,0.4,0.6,0.6
scenario_009,Logical Reasoning,Standard Beginner,gpt-4o-mini,pmcts_full,hint,0.7,0.4,0.6,0.6
scenario_010,High School Math,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.7,0.4,0.8,0.7
scenario_010,High School Math,Standard Beginner,gpt-4o-mini,pmcts_full,socratic_prompt,0.7,0.4,0.6,0.6
scenario_011,High School Math,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.7,0.6,0.5,0.35
scenario_011,High School Math,Standard Beginner,gpt-4o-mini,pmcts_full,socratic_prompt,0.7,0.4,0.6,0.6
scenario_012,Python Programming,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.8,0.2,0.7,0.95
scenario_012,Python Programming,Standard Beginner,gpt-4o-mini,pmcts_full,socratic_prompt,0.8,0.2,0.7,0.95
scenario_013,Logical Reasoning,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.6,0.9,0.4,-0.1
scenario_013,Logical Reasoning,Standard Beginner,gpt-4o-mini,pmcts_full,socratic_prompt,0.7,0.6,0.8,0.5
scenario_014,High School Math,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.8,0.4,0.7,0.75
scenario_014,High School Math,Standard Beginner,gpt-4o-mini,pmcts_full,socratic_prompt,0.7,0.4,0.8,0.7
scenario_015,Python Programming,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.8,0.2,0.7,0.95
scenario_015,Python Programming,Standard Beginner,gpt-4o-mini,pmcts_full,socratic_prompt,0.7,0.4,0.8,0.7
scenario_016,Logical Reasoning,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.7,0.4,0.6,0.6
scenario_016,Logical Reasoning,Standard Beginner,gpt-4o-mini,pmcts_full,socratic_prompt,0.7,0.2,0.6,0.8
scenario_017,High School Math,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.7,0.6,0.5,0.35
scenario_017,High School Math,Standard Beginner,gpt-4o-mini,pmcts_full,socratic_prompt,0.7,0.5,0.8,0.6
scenario_018,Python Programming,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.7,0.6,0.5,0.35
scenario_018,Python Programming,Standard Beginner,gpt-4o-mini,pmcts_full,socratic_prompt,0.7,0.2,0.8,0.9
scenario_019,Logical Reasoning,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.7,0.6,0.5,0.35
scenario_019,Logical Reasoning,Standard Beginner,gpt-4o-mini,pmcts_full,hint,0.7,0.6,0.8,0.5
scenario_020,High School Math,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.7,0.4,0.6,0.6
scenario_020,High School Math,Standard Beginner,gpt-4o-mini,pmcts_full,socratic_prompt,0.7,0.4,0.6,0.6
scenario_021,High School Math,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.8,0.5,0.7,0.65
scenario_021,High School Math,Standard Beginner,gpt-4o-mini,pmcts_full,hint,0.8,0.4,0.7,0.75
scenario_022,Python Programming,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.8,0.6,0.7,0.55
scenario_022,Python Programming,Standard Beginner,gpt-4o-mini,pmcts_full,socratic_prompt,0.8,0.6,0.7,0.55
scenario_023,Logical Reasoning,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.7,0.4,0.8,0.7
scenario_023,Logical Reasoning,Standard Beginner,gpt-4o-mini,pmcts_full,socratic_prompt,0.7,0.4,0.6,0.6
scenario_024,High School Math,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.7,0.6,0.8,0.5
scenario_024,High School Math,Standard Beginner,gpt-4o-mini,pmcts_full,socratic_prompt,0.7,0.6,0.8,0.5
scenario_025,Python Programming,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.7,0.6,0.5,0.35
scenario_025,Python Programming,Standard Beginner,gpt-4o-mini,pmcts_full,socratic_prompt,0.7,0.6,0.5,0.35
scenario_026,Logical Reasoning,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.7,0.4,0.6,0.6
scenario_026,Logical Reasoning,Standard Beginner,gpt-4o-mini,pmcts_full,hint,0.8,0.2,0.7,0.95
scenario_027,High School Math,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.7,0.6,0.5,0.35
scenario_027,High School Math,Standard Beginner,gpt-4o-mini,pmcts_full,socratic_prompt,0.7,0.6,0.8,0.5
scenario_028,Python Programming,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.8,0.4,0.7,0.75
scenario_028,Python Programming,Standard Beginner,gpt-4o-mini,pmcts_full,hint,0.7,0.4,0.6,0.6
scenario_029,Logical Reasoning,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.7,0.6,0.8,0.5
scenario_029,Logical Reasoning,Standard Beginner,gpt-4o-mini,pmcts_full,hint,0.7,0.6,0.8,0.5
scenario_030,High School Math,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.7,0.6,0.5,0.35
scenario_030,High School Math,Standard Beginner,gpt-4o-mini,pmcts_full,socratic_prompt,0.7,0.4,0.6,0.6
scenario_031,High School Math,Standard Beginner,gpt-4o-mini,baseline_socratic_prompt,socratic_prompt,0.8,0.4,0.7,0.75
