scenario_id,domain,runner_type,selected_action,student_state,pedagogical_reward,total_tokens_used
scenario_001,High School Math,baseline_greedy,direct_answer,Passive,-1.0,1226
scenario_001,High School Math,baseline_socratic_prompt,socratic_prompt,Constructive,1.0,1235
scenario_001,High School Math,pmcts_full,socratic_prompt,Constructive,0.0,3612
scenario_001,High School Math,ablation_no_reward,hint,Constructive,0.023645,2240
scenario_001,High School Math,ablation_shallow,direct_answer,Passive,-1.0,1197
scenario_002,Python Programming,baseline_greedy,direct_answer,Passive,-1.0,1085
scenario_002,Python Programming,baseline_socratic_prompt,socratic_prompt,Constructive,1.0,1099
scenario_002,Python Programming,pmcts_full,socratic_prompt,Constructive,1.0,3212
scenario_002,Python Programming,ablation_no_reward,direct_answer,Passive,0.720001,2041
scenario_002,Python Programming,ablation_shallow,direct_answer,Passive,-1.0,1061
scenario_003,Logical Reasoning,baseline_greedy,direct_answer,Passive,-1.0,1089
scenario_003,Logical Reasoning,baseline_socratic_prompt,socratic_prompt,Constructive,1.0,1103
scenario_003,Logical Reasoning,pmcts_full,socratic_prompt,Constructive,1.0,3229
scenario_003,Logical Reasoning,ablation_no_reward,hint,Constructive,0.566747,2049
scenario_003,Logical Reasoning,ablation_shallow,direct_answer,Passive,-1.0,1064
scenario_004,High School Math,baseline_greedy,direct_answer,Passive,-1.0,1142
scenario_004,High School Math,baseline_socratic_prompt,socratic_prompt,Constructive,1.0,1157
scenario_004,High School Math,pmcts_full,socratic_prompt,Constructive,1.0,3375
scenario_004,High School Math,ablation_no_reward,hint,Constructive,0.536231,2124
scenario_004,High School Math,ablation_shallow,direct_answer,Passive,-1.0,1119
scenario_005,Python Programming,baseline_greedy,direct_answer,Passive,-1.0,1116
scenario_005,Python Programming,baseline_socratic_prompt,socratic_prompt,Constructive,1.0,1115
scenario_005,Python Programming,pmcts_full,socratic_prompt,Constructive,1.0,3318
scenario_005,Python Programming,ablation_no_reward,direct_answer,Passive,0.502052,2082
scenario_005,Python Programming,ablation_shallow,direct_answer,Passive,-1.0,1089
scenario_006,Logical Reasoning,baseline_greedy,direct_answer,Passive,-1.0,1111
scenario_006,Logical Reasoning,baseline_socratic_prompt,socratic_prompt,Constructive,1.0,1112
scenario_006,Logical Reasoning,pmcts_full,socratic_prompt,Constructive,0.0,3319
scenario_006,Logical Reasoning,ablation_no_reward,hint,Constructive,0.633523,2076
scenario_006,Logical Reasoning,ablation_shallow,direct_answer,Passive,-1.0,1087
scenario_007,High School Math,baseline_greedy,direct_answer,Passive,-1.0,1117
