Scenario_ID,Intervention_A_Source,Intervention_B_Source
scenario_062,baseline_socratic_prompt,pmcts_full
scenario_204,pmcts_full,baseline_socratic_prompt
scenario_298,baseline_socratic_prompt,pmcts_full
scenario_303,baseline_socratic_prompt,pmcts_full
scenario_372,pmcts_full,baseline_socratic_prompt
scenario_054,baseline_socratic_prompt,pmcts_full
scenario_125,baseline_socratic_prompt,pmcts_full
scenario_348,baseline_socratic_prompt,pmcts_full
scenario_359,baseline_socratic_prompt,pmcts_full
scenario_325,baseline_socratic_prompt,pmcts_full
scenario_256,pmcts_full,baseline_socratic_prompt
scenario_461,baseline_socratic_prompt,pmcts_full
scenario_334,pmcts_full,baseline_socratic_prompt
scenario_321,baseline_socratic_prompt,pmcts_full
scenario_422,baseline_socratic_prompt,pmcts_full
scenario_455,baseline_socratic_prompt,pmcts_full
scenario_450,pmcts_full,baseline_socratic_prompt
scenario_292,baseline_socratic_prompt,pmcts_full
scenario_435,pmcts_full,baseline_socratic_prompt
scenario_453,baseline_socratic_prompt,pmcts_full
scenario_341,baseline_socratic_prompt,pmcts_full
scenario_266,baseline_socratic_prompt,pmcts_full
scenario_134,baseline_socratic_prompt,pmcts_full
scenario_002,pmcts_full,baseline_socratic_prompt
scenario_355,baseline_socratic_prompt,pmcts_full
scenario_042,baseline_socratic_prompt,pmcts_full
scenario_058,pmcts_full,baseline_socratic_prompt
scenario_180,baseline_socratic_prompt,pmcts_full
scenario_483,baseline_socratic_prompt,pmcts_full
scenario_052,baseline_socratic_prompt,pmcts_full
